id,title,genres,subscription_price,release_date,country
145,Multi-layered client-server Local Area Network,Comedy|Romance|Horror,$15.33,1980-06-03,ES
146,Enhanced maximized core,Action|Romance|Thriller,$7.64,1984-07-20,JP
147,Fully-configurable incremental capacity,Comedy,$17.39,2009-12-13,DE
148,Multi-lateral web-enabled website,Romance,$13.76,2012-09-19,US
149,Balanced clear-thinking complexity,Drama|Action,$8.42,1991-08-22,FR
150,Organized system-worthy circuit,Sci-Fi,$7.08,2012-05-07,FR
151,Fully-configurable radical implementation,Romance|Horror,$7.87,invalid-date,JP
152,Centralized mission-critical Internet solution,Romance|Comedy,$13.82,2018-01-05,DE
153,Front-line neutral open architecture,Comedy|Thriller|Drama,$5.37,2016-07-23,UK
154,Cross-group executive middleware,Comedy|Drama,$17.12,2010-03-12,US
155,Total 4thgeneration database,Horror|Drama|Comedy,$14.34,2008-01-24,ES
156,Open-architected value-added attitude,Thriller,$17.46,1996-09-05,JP
157,User-centric neutral Graphic Interface,Horror|Thriller|Drama,$19.58,2017-05-30,US
158,Fully-configurable analyzing portal,Action|Drama|Thriller,$16.1,1982-10-02,JP
159,Enhanced client-server moderator,Action|Comedy|Sci-Fi,$5.96,1980-08-06,DE
160,Profound methodical middleware,Action|Drama,$8.8,1998-01-24,US
161,Re-contextualized bottom-line approach,Drama|Thriller,$17.38,1986-09-27,DE
162,Future-proofed 3rdgeneration collaboration,Sci-Fi,null,2007-04-23,JP
163,De-engineered regional capability,Romance|Action,$14.25,2019-10-11,JP
164,Virtual dynamic protocol,Romance|Action,$19.15,2013-07-21,FR
165,Digitized didactic strategy,Horror|Thriller,$17.08,2022-11-20,US
166,Fundamental 4thgeneration encoding,Horror,$12.09,2001-02-05,DE
167,Business-focused global frame,Horror|Comedy,$16.46,1998-09-16,UK
168,Inverse incremental success,Sci-Fi|Comedy,$9.74,2020-03-03,FR
169,Seamless grid-enabled policy,Sci-Fi|Drama|Horror,$16.94,2011-09-24,US
170,Mandatory national projection,Thriller,$12.62,1981-12-15,US
171,Seamless composite interface,,null,2012-10-11,US
172,Right-sized multi-tasking complexity,Thriller,$18.72,1987-10-09,DE
173,Devolved dynamic structure,Action,$8.26,2014-03-25,DE
174,Synchronized asymmetric encoding,Action|Romance,$8.42,1997-07-12,US
175,Programmable next generation hub,,$12.16,1994-04-11,US
176,User-friendly solution-oriented toolset,Sci-Fi,$19.08,1994-02-22,DE
177,Synergized transitional alliance,Action|Thriller|Romance,$14.22,1980-12-25,DE
178,Integrated eco-centric framework,Sci-Fi,$19.66,2017-02-12,ES
179,Multi-tiered bottom-line system engine,Action,$12.05,2010-01-15,FR
180,Cross-group uniform middleware,Horror,$11.99,1990-10-30,US
181,Automated discrete budgetary management,Romance|Horror,$16.24,invalid-date,JP
182,Centralized foreground hierarchy,Horror|Action,$13.43,2007-03-21,FR
183,Public-key object-oriented productivity,Thriller|Horror|Action,null,1986-09-05,ES
184,Advanced value-added analyzer,Horror|Comedy,$5.97,1980-04-26,DE
185,Robust 6thgeneration knowledgebase,Thriller|Comedy,$10.4,2013-06-06,US
186,Persevering empowering instruction set,Comedy,$5.43,1982-10-07,ES
187,Horizontal upward-trending hub,Horror,$19.94,invalid-date,JP
188,Inverse intermediate Graphical User Interface,Action|Comedy|Horror,$15.12,2007-09-23,FR
189,Compatible content-based firmware,Thriller|Sci-Fi|Action,$10.99,2003-12-15,US
190,Quality-focused leadingedge model,Action|Horror|Thriller,$15.61,2023-05-28,JP
191,Expanded solution-oriented support,Thriller|Comedy|Action,$7.13,2013-12-16,UK
192,Reduced 6thgeneration hierarchy,Thriller|Drama,$17.42,1984-07-13,UK
193,De-engineered client-driven neural-net,Thriller,$5.32,1990-11-16,FR
194,Phased well-modulated infrastructure,Comedy|Action|Horror,$16.77,2023-06-13,FR
195,Centralized user-facing framework,Sci-Fi|Horror|Drama,null,2017-09-24,DE
196,Optional executive help-desk,Drama|Romance|Sci-Fi,$19.05,2003-02-25,UK
197,Proactive national service-desk,Romance,$6.96,1985-03-09,FR
198,Grass-roots exuding structure,Romance|Action|Sci-Fi,$18.82,1991-03-21,DE
199,Secured dynamic utilization,Horror|Thriller|Sci-Fi,$16.38,2023-05-12,FR
200,Upgradable 3rdgeneration alliance,Thriller|Comedy|Horror,$12.95,1999-12-23,DE
201,Cloned intangible database,Comedy|Drama|Thriller,$14.08,2014-07-19,UK
202,Monitored demand-driven capacity,Drama|Thriller,$19.24,2004-02-25,JP
203,Customizable client-server orchestration,Action,$9.37,2014-05-14,US
204,Enterprise-wide 5thgeneration concept,Sci-Fi|Drama,$9.5,1993-05-24,UK
205,Advanced client-server methodology,Sci-Fi|Thriller,$18.78,1982-05-21,US
206,Multi-channeled exuding neural-net,Comedy|Sci-Fi,$12.73,1982-06-16,DE
207,Extended zero-defect analyzer,Drama,$10.9,2019-03-13,UK
208,Open-architected neutral infrastructure,Comedy|Action|Drama,$7.32,1997-03-30,US
209,Decentralized non-volatile methodology,Horror|Drama,$11.95,2007-11-20,FR
210,Persistent zero tolerance solution,Romance,$16.22,1991-10-13,US
211,Profit-focused empowering knowledge user,Sci-Fi,$12.97,1986-07-20,UK
212,Streamlined system-worthy function,Horror|Comedy,$7.53,invalid-date,FR
213,Upgradable foreground initiative,Drama|Romance,$10.72,2020-11-26,ES
214,Synergistic client-server array,Romance,$10.86,2010-08-11,US
215,Realigned eco-centric concept,Sci-Fi|Drama,$5.05,2012-03-15,ES
216,Synergistic mobile migration,Sci-Fi|Drama,$14.32,1989-01-22,UK
217,Innovative cohesive circuit,Horror|Action|Sci-Fi,$5.61,2009-05-04,DE
218,Cross-platform cohesive function,Horror,$15.86,2003-04-12,UK
219,Assimilated mobile function,Action|Comedy,$9.8,2017-07-12,ES
220,Monitored bi-directional customer loyalty,Comedy|Drama|Horror,$11.38,1990-05-27,US
221,De-engineered holistic service-desk,,$15.53,2011-06-05,JP
222,Balanced asymmetric service-desk,Horror,$5.34,2022-11-24,FR
223,Mandatory content-based emulation,Thriller|Action|Drama,$11.03,2017-10-12,UK
224,Pre-emptive didactic complexity,Drama|Horror|Comedy,$15.58,1992-06-20,DE
225,Reduced local time-frame,Drama|Romance|Comedy,$10.11,invalid-date,ES
226,Progressive object-oriented conglomeration,Comedy,$7.0,1983-09-14,ES
227,Quality-focused full-range Internet solution,,$7.94,1998-09-23,US
228,De-engineered reciprocal benchmark,Action|Thriller,$19.88,2009-03-13,UK
229,Cross-platform asymmetric neural-net,Horror,$14.41,2020-06-09,ES
230,Synergistic local utilization,Comedy|Romance,$9.18,1993-12-12,UK
231,Enhanced 6thgeneration open system,Horror|Romance,$11.3,2018-09-15,JP
232,Diverse homogeneous definition,Romance|Thriller,$16.76,1990-07-22,DE
233,Persistent static extranet,Romance|Thriller,$19.97,2009-09-07,FR
234,Persistent 3rdgeneration website,Action|Thriller|Romance,$10.06,2010-07-21,DE
235,Ameliorated exuding encryption,Romance|Comedy,$17.15,1987-05-28,ES
236,Compatible high-level concept,Drama,$14.1,1984-08-02,JP
237,Reverse-engineered multi-tasking architecture,Romance,$15.71,1994-04-26,ES
238,Persevering solution-oriented moderator,Thriller,$18.47,2014-12-23,JP
239,Streamlined explicit budgetary management,Sci-Fi|Thriller|Comedy,$19.87,2011-03-12,US
240,Synchronized regional circuit,Drama|Comedy,$14.45,2008-10-17,UK
241,Intuitive client-driven function,Romance,$7.59,1982-01-01,ES
242,Multi-channeled high-level moratorium,Sci-Fi|Comedy,$14.2,1999-08-29,ES
243,Inverse scalable protocol,Drama|Thriller,$14.08,2012-03-09,ES
244,Phased client-driven groupware,Thriller|Comedy,$16.32,1990-12-10,JP
245,User-centric background protocol,Romance|Thriller|Sci-Fi,$14.78,1998-01-08,DE
246,Configurable solution-oriented matrices,Drama|Comedy|Romance,$17.07,1988-11-16,FR
247,Advanced multimedia strategy,Thriller,$19.74,2006-05-05,UK
248,Pre-emptive systemic moratorium,Drama|Thriller|Horror,null,1999-11-03,DE
249,Reverse-engineered bi-directional forecast,Thriller|Horror|Drama,$6.49,1989-10-01,ES
250,Expanded directional utilization,Thriller|Romance|Action,$13.0,2004-07-28,ES
251,Horizontal empowering protocol,Thriller|Comedy,$10.56,2017-02-06,ES
252,Robust local capacity,Sci-Fi|Comedy|Horror,$6.0,2014-08-05,US
253,Managed object-oriented adapter,Thriller,$14.67,2018-09-22,JP
254,Triple-buffered stable implementation,Action|Comedy,$19.65,1987-01-20,DE
255,Configurable explicit functionalities,Drama|Thriller,$5.21,2013-11-16,ES
256,Reverse-engineered asynchronous interface,Comedy|Horror,$18.81,2022-08-04,UK
257,Seamless homogeneous open architecture,Thriller,$7.71,1987-04-22,DE
258,Stand-alone multi-state definition,Romance,$7.02,1993-06-06,UK
259,Customizable tertiary complexity,Action|Thriller|Horror,$18.42,2018-10-17,DE
260,Open-source 6thgeneration open architecture,Drama|Horror|Action,null,2018-05-28,UK
261,Pre-emptive global instruction set,Sci-Fi|Thriller|Drama,$16.99,1980-08-09,US
262,Cloned methodical projection,Thriller|Comedy,$10.55,1993-06-02,FR
263,Front-line bi-directional success,Thriller,$7.57,1983-01-07,UK
264,Automated content-based hub,Sci-Fi|Romance,$8.74,2019-10-28,FR
265,Managed 3rdgeneration challenge,,$13.67,1991-04-18,UK
266,Public-key analyzing methodology,Action,$17.38,2009-03-22,FR
267,Implemented real-time budgetary management,Action,null,2022-07-24,FR
268,Organized asymmetric architecture,Thriller|Drama|Comedy,$14.61,1998-02-17,DE
269,Devolved modular architecture,Action|Drama,$19.5,1997-11-10,FR
270,Future-proofed bandwidth-monitored utilization,Action|Drama,$16.06,1995-05-27,DE
271,Balanced global hardware,Drama|Thriller,$10.21,1987-09-03,FR
272,Balanced disintermediate archive,Thriller,$17.55,1995-08-08,DE
273,Total local model,Thriller|Sci-Fi,$10.93,1997-11-21,US
274,Integrated tangible matrix,Action|Horror,$9.88,1995-06-07,JP
275,Function-based dynamic capacity,Comedy,$15.39,2015-11-21,US
276,Customer-focused executive initiative,Drama|Thriller,$5.54,2013-09-24,US
277,Robust contextually-based core,Thriller,$18.5,2017-09-25,FR
278,Inverse responsive service-desk,,$14.35,2000-11-13,ES
279,Business-focused dynamic capacity,Sci-Fi|Action,$7.41,2023-03-28,UK
280,Integrated clear-thinking moratorium,Horror|Sci-Fi|Thriller,$8.38,1998-03-03,FR
281,User-friendly maximized time-frame,Romance|Thriller|Comedy,$15.51,2016-02-24,FR
282,Polarized maximized analyzer,Drama|Horror|Thriller,$18.36,1986-10-26,US
283,Proactive stable success,Horror,$19.69,1986-10-23,UK
284,Function-based needs-based matrix,Action,$14.37,1989-07-19,UK
285,Programmable background application,Horror|Action|Romance,$17.21,2018-09-30,UK
286,Automated 24hour function,,$12.28,1986-08-13,US
287,Customizable homogeneous process improvement,Horror|Action|Thriller,$16.32,1993-01-24,DE
288,Future-proofed actuating structure,Drama,$11.88,2020-04-17,US
289,Extended responsive monitoring,Sci-Fi|Romance,$7.82,2012-01-05,FR
290,Switchable uniform moderator,Romance,$14.42,2018-11-30,US
291,Monitored human-resource model,Comedy|Sci-Fi,$16.64,2004-09-05,FR
292,Robust radical knowledge user,Comedy,$15.37,2012-01-22,ES
293,Persevering neutral orchestration,Action|Thriller,$12.15,2000-12-02,FR
294,Self-enabling transitional extranet,Romance|Action|Comedy,$15.77,2007-03-18,JP
295,Cloned tertiary data-warehouse,Romance|Comedy,$13.22,2001-03-13,JP
296,Streamlined system-worthy definition,Comedy|Sci-Fi,$8.96,2007-11-19,JP
297,Customizable dedicated synergy,Thriller|Horror|Drama,$7.09,1983-01-07,US
298,Phased regional benchmark,Comedy|Horror,$7.55,1987-08-10,US
299,Open-source client-driven frame,Horror|Thriller|Comedy,$11.17,1991-10-21,JP
300,Phased systematic methodology,Comedy|Romance,$15.43,1991-12-10,UK
301,Multi-layered discrete capability,Horror|Drama|Sci-Fi,$15.39,2016-09-25,US
302,Extended neutral product,Sci-Fi,$19.84,1993-10-26,UK
303,Implemented value-added groupware,Comedy,$6.23,1982-07-15,ES
304,Adaptive maximized framework,Sci-Fi|Comedy|Thriller,$12.46,2022-11-03,UK
305,Implemented uniform installation,Drama|Action|Romance,$6.16,2019-09-09,FR
306,Focused 4thgeneration firmware,Comedy,$6.39,2011-06-27,JP
307,Upgradable mobile archive,Action|Horror|Comedy,$15.75,2004-01-17,FR
308,Front-line global service-desk,Comedy|Romance,$14.45,2007-04-14,ES
309,Customizable static database,Drama|Sci-Fi,$8.79,2015-12-29,DE
310,Versatile motivating customer loyalty,Comedy|Thriller,$15.98,2004-01-22,US
311,Diverse systematic array,Sci-Fi,$10.26,2021-06-15,UK
312,Streamlined bi-directional encoding,Comedy|Thriller|Drama,$13.34,2023-02-16,JP
313,Customer-focused 3rdgeneration utilization,Sci-Fi|Comedy|Romance,$17.55,1987-01-03,ES
314,Adaptive executive interface,Comedy|Drama,$7.53,2010-11-28,UK
315,Devolved full-range framework,Horror|Comedy|Drama,$5.82,1995-06-28,JP
316,Universal holistic ability,Drama,$11.56,2012-01-20,US
317,Right-sized bi-directional monitoring,Drama|Thriller|Sci-Fi,$7.55,1986-07-07,FR
318,Optional optimal orchestration,Action|Horror|Sci-Fi,$17.02,2005-10-25,JP
319,Centralized scalable encryption,Thriller|Sci-Fi|Horror,null,2016-06-19,US
320,Re-contextualized tertiary moderator,Drama|Sci-Fi,null,1981-08-10,US
321,Front-line analyzing middleware,Thriller|Romance,$17.58,2008-11-04,ES
322,Multi-layered executive analyzer,Romance,$9.09,2013-02-07,JP
323,Synchronized static productivity,,$10.96,1997-02-06,FR
324,Triple-buffered asymmetric utilization,Sci-Fi|Horror|Romance,$8.61,1982-11-22,UK
325,Balanced real-time complexity,Comedy|Romance,$11.51,invalid-date,US
326,De-engineered upward-trending superstructure,Thriller|Action,$12.06,2008-06-12,DE
327,Multi-channeled interactive framework,Action|Thriller|Drama,$14.79,2018-03-06,US
328,Persistent transitional portal,Action|Thriller|Romance,$12.15,invalid-date,DE
329,Open-architected multi-tasking contingency,,$18.64,2020-09-11,ES
330,Grass-roots well-modulated superstructure,Horror|Drama|Action,$8.21,1993-01-26,US
331,Self-enabling needs-based toolset,Action|Romance|Comedy,$11.6,1998-05-05,JP
332,Persistent reciprocal task-force,Drama|Comedy,$13.75,2022-05-17,FR
333,Cross-platform needs-based product,Horror|Drama|Sci-Fi,$12.06,2015-02-09,ES
334,Advanced executive framework,Horror,$17.23,1995-07-01,US
335,Multi-tiered 4thgeneration projection,Drama|Romance|Comedy,$6.73,1981-11-30,ES
336,Quality-focused grid-enabled matrix,Drama|Romance|Comedy,null,2018-10-03,JP
337,Organic maximized intranet,Sci-Fi|Romance|Drama,$15.88,1980-09-19,JP
338,Reduced interactive ability,Comedy|Romance|Action,$13.88,2008-07-27,JP
339,Fundamental non-volatile database,Romance|Drama,$13.98,1988-05-28,ES
340,Open-architected analyzing Graphic Interface,Comedy,$10.83,2016-03-02,FR
341,Monitored full-range access,Horror|Action|Drama,$8.42,invalid-date,DE
342,Versatile tangible flexibility,Romance|Horror,$11.84,2022-11-23,ES
343,Re-contextualized directional ability,Action|Sci-Fi,$11.92,2016-12-10,ES
344,Synergistic zero administration orchestration,Thriller|Sci-Fi|Horror,$16.39,1996-12-25,FR
345,Centralized radical project,Sci-Fi,$10.28,2006-01-12,US
346,Switchable disintermediate Graphical User Interface,,$10.92,1981-06-30,ES
347,Future-proofed zero administration info-mediaries,Action|Horror|Comedy,$8.21,1994-06-23,US
348,Open-source solution-oriented circuit,Sci-Fi,$12.76,2009-02-28,US
349,Multi-channeled value-added matrices,Action,$16.43,2012-10-26,ES
350,Balanced encompassing analyzer,Action|Drama|Comedy,$8.77,2022-12-17,JP
351,Business-focused eco-centric project,Comedy,$19.9,2022-06-22,DE
352,Assimilated directional process improvement,Romance|Thriller|Horror,$16.93,1998-05-05,US
353,Multi-channeled intermediate Local Area Network,Thriller,$5.14,1996-12-19,ES
354,Multi-layered reciprocal conglomeration,Horror|Sci-Fi,$15.22,2011-10-11,US
355,Total multi-tasking Graphical User Interface,Thriller,$14.33,1986-05-15,FR
356,Fundamental methodical architecture,Horror|Action|Sci-Fi,$7.78,2010-03-18,DE
357,Secured tertiary Internet solution,Horror|Comedy|Romance,$19.28,2001-02-17,FR
358,Persevering 5thgeneration infrastructure,Thriller|Horror,$13.21,2010-06-06,DE
359,Innovative tertiary challenge,Action,$7.31,2011-10-11,JP
360,Multi-channeled asynchronous flexibility,Horror,$15.31,2016-05-09,UK
361,Business-focused dynamic concept,Drama|Horror|Comedy,$8.96,1982-02-14,UK
362,De-engineered 3rdgeneration firmware,,$18.33,2023-02-24,DE
363,Face-to-face responsive product,Drama|Romance,$9.09,2004-06-06,DE
